customer_id,age,sub_days,day_since_last_purchase,number_of_orders,twitch_sessions,twitch_hours_streamed,churn
1,37,222,10,0,488,8,1
2,39,160,49,0,125,33,0
3,53,281,29,0,496,16,0
4,24,90,20,0,440,55,0
5,65,43,63,21,44,49,0
6,22,26,32,31,239,50,0
7,52,170,83,0,372,2,0
8,19,129,95,13,306,27,0
9,37,25,19,0,470,8,0
10,54,125,52,45,218,67,1
11,50,328,0,0,407,69,0
12,34,82,92,16,370,11,0
13,19,155,28,28,353,62,0
14,21,203,84,48,396,73,0
15,23,330,72,7,157,37,0
16,18,191,0,0,141,32,0
17,26,254,50,49,478,43,0
18,29,151,57,27,292,79,0
19,64,3,22,46,229,77,0
20,28,14,93,0,192,72,1
21,60,67,47,33,252,1,1
22,45,156,19,47,339,56,0
23,24,175,85,41,35,58,0
24,53,315,51,22,138,63,0
25,48,40,26,30,358,3,0
26,28,176,87,16,326,65,0
27,58,212,0,0,470,3,0
28,50,310,0,0,366,53,0
29,20,233,69,43,362,8,0
30,61,339,78,0,380,22,0
31,58,105,0,0,218,44,0
32,42,45,98,8,343,8,0
33,27,151,58,18,396,31,1
34,56,85,97,32,474,41,1
35,38,126,5,0,89,41,0
36,65,300,0,0,31,10,0
37,58,333,0,0,198,39,0
38,44,35,0,0,316,29,0
39,18,109,53,12,80,0,0
40,30,158,0,0,289,20,1
41,39,315,17,33,371,73,0
42,31,354,0,0,198,76,0
43,31,365,0,0,145,11,0
44,34,342,14,16,327,51,1
45,45,62,0,0,375,12,0
46,50,320,75,0,364,11,0
47,54,303,9,30,226,16,1
48,43,302,82,42,354,70,0
49,46,335,62,31,56,7,0
50,42,70,28,2,222,49,0
51,47,225,0,0,162,75,0
52,50,319,18,0,41,41,0
53,46,298,59,15,218,2,1
54,49,357,94,0,296,19,0
55,48,192,9,6,434,50,0
56,55,19,0,0,101,66,0
57,43,299,29,45,107,52,0
58,60,322,39,0,107,68,0
59,57,210,76,45,53,40,0
60,38,330,96,7,59,48,1
61,56,196,75,0,343,75,0
62,64,17,22,22,193,14,1
63,31,282,21,0,352,62,0
64,55,248,0,0,469,6,0
65,32,345,0,0,374,18,0
66,43,219,15,50,254,7,0
67,50,121,0,0,285,44,0
68,56,199,54,16,414,30,0
69,48,62,0,0,124,42,1
70,42,341,89,0,447,24,1
71,48,347,47,0,113,23,0
72,30,327,0,0,410,39,0
73,57,130,85,0,424,61,0
74,60,254,93,0,145,15,0
75,24,80,0,0,164,44,0
76,29,291,8,0,128,38,0
77,18,13,0,0,64,32,0
78,28,126,69,0,221,18,0
79,37,59,0,0,250,70,0
80,30,79,0,0,354,41,0
81,65,166,0,0,351,80,1
82,30,328,0,0,26,36,1
83,18,268,0,0,126,33,0
84,46,258,95,40,480,65,0
85,39,85,0,0,201,11,0
86,43,268,48,25,74,24,0
87,55,313,59,23,293,78,0
88,62,63,0,0,167,70,0
89,19,216,99,31,409,7,0
90,34,294,29,3,394,17,0
91,55,267,39,5,311,54,0
92,35,26,0,0,182,68,0
93,21,233,30,20,228,39,0
94,63,213,99,29,462,36,0
95,45,261,79,25,336,71,0
96,44,131,14,13,383,0,0
97,60,114,0,0,398,54,0
98,56,290,87,15,280,64,0
99,40,345,41,39,451,62,0
100,63,287,74,22,230,75,0
101,56,297,35,8,248,32,0
102,27,117,78,25,487,3,0
103,54,301,9,0,325,25,0
104,36,357,27,30,83,74,0
105,27,180,78,2,50,6,0
106,42,5,44,0,301,59,1
107,60,202,28,29,124,67,0
108,53,121,0,0,497,3,0
109,63,304,33,19,500,66,0
110,43,46,0,0,45,46,0
111,55,342,94,34,294,3,0
112,18,246,32,50,466,3,1
113,43,312,70,13,362,58,0
114,29,313,0,0,147,76,0
115,37,65,32,49,2,60,0
116,34,235,11,0,307,59,0
117,26,35,44,29,189,28,0
118,46,285,87,14,263,2,0
119,63,205,11,34,380,34,0
120,49,151,76,2,385,29,0
121,63,87,0,0,191,72,0
122,42,146,3,0,336,9,0
123,30,251,22,33,297,16,0
124,19,202,34,41,326,16,0
125,29,326,89,30,178,2,0
126,18,172,30,36,394,8,0
127,57,57,76,0,45,7,0
128,47,269,0,0,250,9,0
129,26,116,98,8,422,34,0
130,30,210,89,0,430,72,0
131,47,291,33,11,461,27,0
132,49,173,11,3,4,41,0
133,61,140,85,24,460,77,0
134,36,325,0,0,262,16,0
135,33,25,55,36,52,59,0
136,42,36,0,0,453,48,0
137,36,69,61,48,472,61,0
138,65,206,59,13,29,62,0
139,58,277,68,35,291,30,1
140,19,52,76,0,23,68,0
141,58,101,0,0,80,59,0
142,61,156,63,5,51,13,0
143,46,357,64,25,164,44,0
144,19,340,7,0,440,17,0
145,40,221,82,17,362,55,0
146,59,173,88,16,178,22,0
147,57,329,97,0,14,21,0
148,50,109,96,9,410,4,0
149,43,70,13,8,211,63,0
150,22,222,0,0,330,13,0
151,55,361,0,0,279,3,0
152,60,184,48,17,119,26,0
153,35,256,39,22,34,60,0
154,53,66,98,27,278,25,0
155,18,206,94,35,400,53,0
156,41,155,52,0,397,76,0
157,59,165,91,29,333,13,1
158,58,36,41,9,499,60,0
159,23,327,0,0,267,27,0
160,58,212,49,7,318,3,0
161,47,152,0,0,114,18,0
162,49,96,0,0,164,12,0
163,26,256,88,0,330,32,0
164,65,220,15,7,406,54,0
165,25,329,12,4,435,11,0
166,46,75,75,0,252,49,0
167,26,195,72,35,91,23,0
168,55,135,10,0,97,53,0
169,28,257,87,0,112,43,1
170,28,105,0,0,157,11,0
171,63,328,6,3,456,22,0
172,55,327,48,0,82,79,0
173,23,361,82,20,26,35,1
174,58,251,82,0,25,75,0
175,28,25,5,5,318,17,0
176,62,228,59,19,396,52,0
177,27,340,54,39,403,8,0
178,57,287,21,41,87,49,0
179,23,22,1,0,413,32,0
180,61,55,77,49,457,50,0
181,36,325,88,25,477,12,0
182,21,145,61,26,384,24,0
183,31,251,0,0,246,20,0
184,65,6,0,0,416,24,0
185,50,16,0,0,271,16,0
186,26,169,76,25,101,18,0
187,51,88,62,48,129,70,0
188,35,182,99,42,345,75,0
189,23,177,79,0,13,17,0
190,61,213,89,31,320,60,1
