prime_days,loot_collected,day_stream_hr,evennig_stream_hr,night_stream_hr,bits_donated,cs_contacts,churn,prime_student,used_sub,day_sessions,evennig_sessions,night_sessions,follows
128,25,265.1,197.4,244.7,10,1,0,0,1,110,99,91,3
107,26,161.6,195.5,254.4,13.7,1,0,0,1,123,103,103,3
137,0,243.4,121.2,162.6,12.2,0,0,0,0,114,110,104,5
84,0,299.4,61.9,196.9,6.6,2,0,1,0,71,88,89,7
75,0,166.7,148.3,186.9,10.1,3,0,1,0,113,122,121,3
118,0,223.4,220.6,203.9,6.3,0,0,1,0,98,101,118,6
121,24,218.2,348.5,212.6,7.5,3,0,0,1,88,108,118,7
147,0,157,103.1,211.8,7.1,0,0,1,0,79,94,96,6
117,0,184.5,351.6,215.8,8.7,1,0,0,0,97,80,90,4
141,37,258.6,222,326.4,11.2,0,0,1,1,84,111,97,5
65,0,129.1,228.5,208.8,12.7,4,1,0,0,137,83,111,6
74,0,187.7,163.4,196,9.1,0,0,0,0,127,148,94,5
168,0,128.8,104.9,141.1,11.2,1,0,0,0,96,71,128,2
95,0,156.6,247.6,192.3,12.3,3,0,0,0,88,75,115,5
62,0,120.7,307.2,203,13.1,4,0,0,0,70,76,99,6
161,0,332.9,317.8,160.6,5.4,4,1,0,0,67,97,128,9
85,27,196.4,280.9,89.3,13.8,1,0,0,1,139,90,75,4
93,0,190.7,218.2,129.6,8.1,3,0,0,0,114,111,121,3
76,33,189.7,212.8,165.7,10,1,0,0,1,66,65,108,5
73,0,224.4,159.5,192.8,13,1,0,0,0,90,88,74,2
147,0,155.1,239.7,208.8,10.6,0,0,0,0,117,93,133,4
77,0,62.4,169.9,209.6,5.7,5,1,0,0,89,121,64,6
130,0,183,72.9,181.8,9.5,0,0,0,0,112,99,78,19
111,0,110.4,137.3,189.6,7.7,2,0,0,0,103,102,105,6
132,0,81.1,245.2,237,10.3,0,0,0,0,86,72,115,2
174,0,124.3,277.1,250.7,15.5,3,0,0,0,76,112,115,5
57,39,213,191.1,182.7,9.5,0,0,0,1,115,112,115,3
54,0,134.3,155.5,102.1,14.7,3,0,0,0,73,100,68,4
20,0,190,258.2,181.5,6.3,0,0,0,0,109,84,102,6
49,0,119.3,215.1,178.7,11.1,1,0,0,0,117,109,90,1
142,0,84.8,136.7,250.5,14.2,2,0,0,0,95,63,148,6
75,0,226.1,201.5,246.2,10.3,1,0,0,0,105,107,98,5
172,0,212,31.2,293.3,12.6,3,0,0,0,121,115,78,10
12,0,249.6,252.4,280.2,11.8,1,1,0,0,118,119,90,3
57,25,176.8,195,213.5,8.3,0,0,0,1,94,75,116,4
72,37,220,217.3,152.8,14.7,3,0,0,1,80,102,71,6
36,30,146.3,162.5,129.3,14.5,0,0,0,1,128,80,109,6
78,0,130.8,223.7,227.8,10,1,0,0,0,64,116,108,5
136,33,203.9,187.6,101.7,10.5,3,0,1,1,106,99,107,6
149,0,140.4,271.8,188.3,11.1,1,0,0,0,94,92,108,9
98,0,126.3,166.8,187.8,9.4,3,0,0,0,102,85,135,2
135,41,173.1,203.9,122.2,14.6,0,1,1,1,85,107,78,15
34,0,124.8,282.2,311.5,10,2,0,0,0,82,98,78,4
160,0,85.8,165.3,178.5,9.2,3,0,0,0,77,110,92,4
64,0,154,225.8,265.3,3.5,1,0,0,0,67,118,86,3
59,28,120.9,213,163.1,8.5,2,0,0,1,97,92,116,5
65,0,211.3,162.6,134.7,13.2,3,0,0,0,120,122,118,5
142,0,187,134.6,242.2,7.4,2,0,0,0,133,74,127,5
119,0,159.1,231.3,143.2,8.8,5,1,0,0,114,117,91,3
97,24,133.2,217.2,70.6,11,1,0,0,1,135,58,79,3
52,0,191.9,269.8,236.8,7.8,3,0,0,0,108,96,87,5
60,0,220.6,211.1,249,6.8,1,0,0,0,57,115,129,3
10,0,186.1,190.2,282.8,11.4,2,0,0,0,112,66,57,6
96,0,160.2,267.5,228.5,9.3,2,0,0,0,117,67,68,5
87,0,151,219.7,203.9,9.7,5,1,0,0,83,116,127,3
81,0,175.5,249.3,270.2,10.2,1,0,0,0,67,85,98,3
141,0,126.9,180,140.8,8,1,0,0,0,98,62,128,2
121,30,198.4,75.3,181.2,5.8,3,1,0,1,129,77,77,3
68,0,148.8,246.5,129.8,12.1,3,0,0,0,70,164,103,3
125,0,229.3,177.4,189.3,12,1,0,0,0,103,126,95,8
174,0,192.1,169.9,166.6,11.4,1,0,0,0,97,94,54,4
116,34,268.6,178.2,166.3,11.6,2,0,0,1,83,142,106,3
74,33,193.7,246.1,138,14.6,2,0,0,1,91,96,92,3
149,28,180.7,187.8,265.5,12.6,3,0,0,1,92,64,53,3
38,0,131.2,162.9,159,8.2,2,0,0,0,98,97,106,6
40,41,148.1,169.5,214.1,6.2,2,0,0,1,74,88,102,5
43,0,251.5,212.8,157.8,9.3,0,0,1,0,105,104,67,4
113,0,125.2,206.4,129.3,8.3,0,0,1,0,93,119,139,8
126,0,211.6,216.9,153.5,7.8,1,0,0,0,70,80,60,1
150,0,178.9,169.1,148.6,13.8,4,1,0,0,101,110,100,3
138,0,241.8,170.5,295.3,11.8,3,0,0,0,93,83,104,7
162,46,224.9,188.2,254.6,12.1,0,0,0,1,97,84,61,2
147,0,248.6,148.9,172.5,8,3,0,0,0,83,85,109,4
90,0,203.4,226.7,152.4,7.3,1,0,0,0,146,117,105,4
85,0,235.8,157.2,188.2,12,0,0,0,0,109,94,99,3
50,0,157.1,223.3,181.4,6.1,1,0,0,0,90,72,111,2
82,0,300.3,181,270.1,11.7,0,1,0,0,109,100,73,4
144,0,61.6,77.1,173,8.2,4,1,0,0,117,85,99,7
46,0,214.1,164.4,177.5,8.2,2,0,0,0,72,104,113,3
70,0,170.2,155.2,228.6,15,1,0,0,0,98,102,76,2
144,0,201.1,303.5,224,13.2,1,0,0,0,99,74,119,2
116,0,215.4,204.8,278.5,12.6,3,0,1,0,104,79,109,5
55,25,165.6,136.1,175.7,11,3,0,0,1,123,95,90,2
70,24,249.5,259.7,222.7,9.8,1,0,0,1,101,98,68,4
106,0,210.6,249.2,191.4,12.4,2,1,0,0,96,85,88,1
128,29,179.3,225.9,323,8.6,0,0,0,1,104,86,78,7
94,0,157.9,155,189.6,8,4,1,0,0,105,101,84,5
