prime_days,loot_collected,day_stream_hr,evennig_stream_hr,night_stream_hr,bits_donated,cs_contacts,churn,prime_student,used_sub,day_sessions,evennig_sessions,night_sessions,follows
12.8,3,53.02,39.48,48.94,10,1,0,0,1,11,10,10,2
10.7,3,32.32,39.1,50.88,14,1,0,0,1,13,11,11,2
13.7,0,48.68,24.24,32.52,13,0,0,0,0,12,11,11,3
8.4,0,59.88,12.38,39.38,7,2,0,1,0,8,9,9,4
7.5,0,33.34,29.66,37.38,11,3,0,1,0,12,13,13,2
11.8,0,44.68,44.12,40.78,7,0,0,1,0,10,11,12,3
12.1,3,43.64,69.7,42.52,8,3,0,0,1,9,11,12,4
14.7,0,31.4,20.62,42.36,8,0,0,1,0,8,10,10,3
11.7,0,36.9,70.32,43.16,9,1,0,0,0,10,8,9,2
14.1,4,51.72,44.4,65.28,12,0,0,1,1,9,12,10,3
6.5,0,25.82,45.7,41.76,13,4,1,0,0,14,9,12,3
7.4,0,37.54,32.68,39.2,10,0,0,0,0,13,15,10,3
16.8,0,25.76,20.98,28.22,12,1,0,0,0,10,8,13,1
9.5,0,31.32,49.52,38.46,13,3,0,0,0,9,8,12,3
6.2,0,24.14,61.44,40.6,14,4,0,0,0,7,8,10,3
16.1,0,66.58,63.56,32.12,6,4,1,0,0,7,10,13,5
8.5,3,39.28,56.18,17.86,14,1,0,0,1,14,9,8,2
9.3,0,38.14,43.64,25.92,9,3,0,0,0,12,12,13,2
7.6,4,37.94,42.56,33.14,10,1,0,0,1,7,7,11,3
7.3,0,44.88,31.9,38.56,13,1,0,0,0,9,9,8,1
14.7,0,31.02,47.94,41.76,11,0,0,0,0,12,10,14,2
7.7,0,12.48,33.98,41.92,6,5,1,0,0,9,13,7,3
13,0,36.6,14.58,36.36,10,0,0,0,0,12,10,8,10
11.1,0,22.08,27.46,37.92,8,2,0,0,0,11,11,11,3
13.2,0,16.22,49.04,47.4,11,0,0,0,0,9,8,12,1
17.4,0,24.86,55.42,50.14,16,3,0,0,0,8,12,12,3
5.7,4,42.6,38.22,36.54,10,0,0,0,1,12,12,12,2
5.4,0,26.86,31.1,20.42,15,3,0,0,0,8,10,7,2
2,0,38,51.64,36.3,7,0,0,0,0,11,9,11,3
4.9,0,23.86,43.02,35.74,12,1,0,0,0,12,11,9,1
14.2,0,16.96,27.34,50.1,15,2,0,0,0,10,7,15,3
7.5,0,45.22,40.3,49.24,11,1,0,0,0,11,11,10,3
17.2,0,42.4,6.24,58.66,13,3,0,0,0,13,12,8,5
1.2,0,49.92,50.48,56.04,12,1,1,0,0,12,12,9,2
5.7,3,35.36,39,42.7,9,0,0,0,1,10,8,12,2
7.2,4,44,43.46,30.56,15,3,0,0,1,8,11,8,3
3.6,3,29.26,32.5,25.86,15,0,0,0,1,13,8,11,3
7.8,0,26.16,44.74,45.56,10,1,0,0,0,7,12,11,3
13.6,4,40.78,37.52,20.34,11,3,0,1,1,11,10,11,3
14.9,0,28.08,54.36,37.66,12,1,0,0,0,10,10,11,5
9.8,0,25.26,33.36,37.56,10,3,0,0,0,11,9,14,1
13.5,5,34.62,40.78,24.44,15,0,1,1,1,9,11,8,8
3.4,0,24.96,56.44,62.3,10,2,0,0,0,9,10,8,2
16,0,17.16,33.06,35.7,10,3,0,0,0,8,11,10,2
6.4,0,30.8,45.16,53.06,4,1,0,0,0,7,12,9,2
5.9,3,24.18,42.6,32.62,9,2,0,0,1,10,10,12,3
6.5,0,42.26,32.52,26.94,14,3,0,0,0,12,13,12,3
14.2,0,37.4,26.92,48.44,8,2,0,0,0,14,8,13,3
11.9,0,31.82,46.26,28.64,9,5,1,0,0,12,12,10,2
9.7,3,26.64,43.44,14.12,11,1,0,0,1,14,6,8,2
5.2,0,38.38,53.96,47.36,8,3,0,0,0,11,10,9,3
6,0,44.12,42.22,49.8,7,1,0,0,0,6,12,13,2
1,0,37.22,38.04,56.56,12,2,0,0,0,12,7,6,3
9.6,0,32.04,53.5,45.7,10,2,0,0,0,12,7,7,3
8.7,0,30.2,43.94,40.78,10,5,1,0,0,9,12,13,2
8.1,0,35.1,49.86,54.04,11,1,0,0,0,7,9,10,2
14.1,0,25.38,36,28.16,8,1,0,0,0,10,7,13,1
12.1,3,39.68,15.06,36.24,6,3,1,0,1,13,8,8,2
6.8,0,29.76,49.3,25.96,13,3,0,0,0,7,17,11,2
12.5,0,45.86,35.48,37.86,12,1,0,0,0,11,13,10,4
17.4,0,38.42,33.98,33.32,12,1,0,0,0,10,10,6,2
